year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population
2001,AL,Cullman County,rural,South,East South Central,Total,50724,15.5
2002,AL,Cullman County,rural,South,East South Central,Total,50832,18
2003,AL,Cullman County,rural,South,East South Central,Total,50933,11
2004,AL,Cullman County,rural,South,East South Central,Total,51234,51.5
2005,AL,Cullman County,rural,South,East South Central,Total,51661,92
2006,AL,Cullman County,rural,South,East South Central,Total,51794,108.875
2007,AL,Cullman County,rural,South,East South Central,Total,52026,125.75
2008,AL,Cullman County,rural,South,East South Central,Total,52277,142.625
2009,AL,Cullman County,rural,South,East South Central,Total,52285,159.5
2010,AL,Cullman County,rural,South,East South Central,Total,52249,176.375
2011,AL,Cullman County,rural,South,East South Central,Total,52262,193.25
2012,AL,Cullman County,rural,South,East South Central,Total,52171,210.125
2013,AL,Cullman County,rural,South,East South Central,Total,51732,227
2014,AL,Cullman County,rural,South,East South Central,Total,51740,171
2015,AL,Cullman County,rural,South,East South Central,Total,51675,115
2016,AL,Cullman County,rural,South,East South Central,Total,51925,NA
1970,AL,Dale County,rural,South,East South Central,Total,35852,14
1971,AL,Dale County,rural,South,East South Central,Total,35805,12.375
1972,AL,Dale County,rural,South,East South Central,Total,31948,10.75
1973,AL,Dale County,rural,South,East South Central,Total,27761,9.125
1974,AL,Dale County,rural,South,East South Central,Total,28345,7.5
1975,AL,Dale County,rural,South,East South Central,Total,29680,5.875
1976,AL,Dale County,rural,South,East South Central,Total,28801,4.25
1977,AL,Dale County,rural,South,East South Central,Total,28986,2.625
1978,AL,Dale County,rural,South,East South Central,Total,30545,1
1979,AL,Dale County,rural,South,East South Central,Total,30484,1.5
1980,AL,Dale County,rural,South,East South Central,Total,31999,2
1981,AL,Dale County,rural,South,East South Central,Total,32508,2.5
1982,AL,Dale County,rural,South,East South Central,Total,32481,3
1983,AL,Dale County,rural,South,East South Central,Total,32661,3.5
1984,AL,Dale County,rural,South,East South Central,Total,32486,4
1985,AL,Dale County,rural,South,East South Central,Total,32579,4.5
1986,AL,Dale County,rural,South,East South Central,Total,33145,5
1987,AL,Dale County,rural,South,East South Central,Total,33368,5.5
1988,AL,Dale County,rural,South,East South Central,Total,34004,6
1989,AL,Dale County,rural,South,East South Central,Total,33451,8
1990,AL,Dale County,rural,South,East South Central,Total,33335,10
